C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_335.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_335.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_335.jpg,0,0,0,24.90012
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_399.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_399.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_399.jpg,0,0,0,24.74941
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_471.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_471.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_471.jpg,0,0,0,24.54987
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_544.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_544.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_544.jpg,0,0,0,24.35206
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_615.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_615.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_615.jpg,0,0,0,24.20492
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_683.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_683.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_683.jpg,0,0,0,24.0101
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_750.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_750.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_750.jpg,0,0,0,23.865
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_819.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_819.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_819.jpg,0,0,0,23.72085
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_890.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_890.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_890.jpg,0,0,0,23.53016
C:\Users\user\Documents\car\IMG\center_2019_12_20_09_51_13_959.jpg,C:\Users\user\Documents\car\IMG\left_2019_12_20_09_51_13_959.jpg,C:\Users\user\Documents\car\IMG\right_2019_12_20_09_51_13_959.jpg,0,0,0,23.38816
